,City,Tenure Months,Internet Service,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Churn Reason,Senior Citizen_Yes,Gender_Male,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes
0,Los Angeles,2,DSL,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,86,3239,Competitor made better offer,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,Los Angeles,2,Fiber optic,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,67,2701,Moved,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Los Angeles,8,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,86,5372,Moved,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
3,Los Angeles,28,Fiber optic,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,84,5003,Moved,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1
4,Los Angeles,49,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,89,5340,Competitor had better devices,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
5,Los Angeles,10,DSL,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,78,5925,Competitor offered higher download speeds,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
6,Los Angeles,1,DSL,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,100,5433,Competitor offered more data,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7,Los Angeles,1,No,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,92,4832,Competitor made better offer,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
8,Los Angeles,47,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,77,5789,Competitor had better devices,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
9,Los Angeles,1,DSL,No,Month-to-month,No,Electronic check,30.2,30.2,1,97,2915,Competitor had better devices,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,Los Angeles,17,DSL,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,74,3022,Competitor offered higher download speeds,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11,Los Angeles,5,Fiber optic,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,66,2454,Competitor offered higher download speeds,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Los Angeles,34,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,65,2941,Competitor offered higher download speeds,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
13,Los Angeles,11,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,70,5674,Competitor offered more data,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
14,Los Angeles,2,Fiber optic,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,90,5586,Competitor offered more data,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15,Los Angeles,15,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,82,2966,Competitor offered more data,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
16,Los Angeles,8,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,69,5302,Competitor made better offer,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
17,Los Angeles,18,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,81,3179,Competitor made better offer,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
18,Beverly Hills,9,Fiber optic,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,96,5571,Price too high,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
19,Huntington Park,1,Fiber optic,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,87,2483,Product dissatisfaction,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
20,Lynwood,7,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,70,3457,Service dissatisfaction,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
21,Marina Del Rey,12,Fiber optic,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,86,5806,Lack of self-service on Website,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
22,Inglewood,5,No,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,66,2604,Network reliability,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
23,Inglewood,25,Fiber optic,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,88,5337,Limited range of services,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1
24,Santa Monica,68,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,86,5034,Lack of affordable download/upload speed,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
25,Torrance,55,Fiber optic,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,75,5154,Long distance charges,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1
26,Whittier,37,Fiber optic,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,67,2793,Extra data charges,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
27,Whittier,10,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,87,5998,Price too high,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
28,La Habra,3,Fiber optic,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76,4415,Product dissatisfaction,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
29,Pico Rivera,27,Fiber optic,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,95,4638,Service dissatisfaction,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
30,Avalon,25,DSL,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,99,4190,Lack of self-service on Website,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
31,Harbor City,1,DSL,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,80,2301,Network reliability,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
