,Tenure Months,Monthly Charges,Total Charges,Churn Score,CLTV,Dependents_Yes,Multiple Lines_Yes,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Contract_One year,Paperless Billing_Yes,Internet Service_No,Streaming Movies_No internet service,Streaming Movies_Yes,Payment Method_Electronic check,Payment Method_Mailed check,predicciones,reales
0,2,53.85,108.15,86,3239,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
1,2,70.7,151.65,67,2701,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
2,8,99.65,820.5,86,5372,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
3,28,104.8,3046.05,84,5003,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
4,49,103.7,5036.3,89,5340,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
5,10,55.2,528.35,78,5925,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6,1,39.65,39.65,100,5433,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
7,1,20.15,20.15,92,4832,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
8,47,99.35,4749.15,77,5789,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
9,1,30.2,30.2,97,2915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
10,17,64.7,1093.1,74,3022,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
11,5,69.7,316.9,66,2454,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
12,34,106.35,3549.25,65,2941,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
13,11,97.85,1105.4,70,5674,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
14,2,80.65,144.15,90,5586,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
15,15,99.1,1426.4,82,2966,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
16,8,80.65,633.3,69,5302,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
17,18,95.45,1752.55,81,3179,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
18,9,94.4,857.25,96,5571,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
19,1,79.35,79.35,87,2483,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
20,7,75.15,496.9,70,3457,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,12,78.95,927.35,86,5806,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
22,5,21.05,113.85,66,2604,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
23,25,98.5,2514.5,88,5337,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
24,68,110.0,7611.85,86,5034,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
25,55,96.75,5238.9,75,5154,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
26,37,76.5,2868.15,67,2793,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
27,10,100.25,1064.65,87,5998,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
28,3,74.4,229.55,76,4415,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
29,27,78.05,2135.5,95,4638,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
30,25,58.6,1502.65,99,4190,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
31,1,35.45,35.45,80,2301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
32,2,44.35,81.25,76,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
33,1,70.45,70.45,76,3964,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
34,8,71.15,563.65,66,2662,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
35,1,45.65,45.65,73,2600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
36,7,95.0,655.5,94,2786,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
37,20,82.4,1592.35,86,5719,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
38,4,70.9,273.0,75,4287,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
39,58,45.3,2651.2,100,5444,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
40,2,104.4,242.8,83,4690,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
41,53,94.85,5000.2,80,4328,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
42,15,74.45,1145.7,99,5717,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
43,7,76.45,503.6,81,4419,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,29.95,29.95,95,4534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,8,84.5,662.65,86,2152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
46,13,79.25,1111.65,73,5142,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
47,1,24.8,24.8,94,4851,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
48,6,91.0,531.0,94,2283,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1
49,1,79.9,79.9,98,3394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
50,19,106.6,1934.45,71,3764,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
51,2,46.0,84.5,76,2667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
52,4,70.15,268.35,67,2227,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
53,4,50.05,179.35,82,3394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
54,1,55.2,55.2,81,3638,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
55,1,84.6,84.6,66,2484,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
56,2,54.4,114.1,81,2556,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
57,11,95.0,1120.3,85,5980,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
58,15,74.4,1074.3,86,4616,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
59,1,48.55,48.55,77,5687,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
60,2,70.4,147.15,75,5687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
61,1,40.2,40.2,65,5828,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
62,2,44.6,80.55,99,4884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
63,3,41.15,132.2,96,2314,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1
64,13,106.9,1364.3,84,2494,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
65,59,19.35,1099.6,83,5084,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1
66,16,94.45,1511.2,81,3810,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1
67,1,24.8,24.8,73,5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,1,70.6,70.6,69,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
69,5,85.4,401.1,80,3676,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
70,52,105.05,5624.85,65,4839,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
71,18,95.15,1779.95,68,4643,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
72,1,70.0,70.0,97,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
73,8,74.5,606.55,80,4345,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
74,10,44.85,435.4,83,4061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
75,24,76.1,1712.7,98,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
76,1,73.6,73.6,80,2565,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
77,4,95.45,396.1,85,3677,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
78,32,74.9,2303.35,69,4105,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
79,5,80.6,415.55,69,5715,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
80,38,80.3,3058.65,81,2071,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
81,24,93.15,2231.05,73,2212,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
82,54,82.45,4350.1,83,4149,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
83,2,70.35,139.05,73,2671,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
84,7,73.85,511.25,67,2473,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
85,2,80.6,155.8,92,2683,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
86,68,75.8,5293.95,81,4903,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
87,43,104.6,4759.85,91,5250,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
88,63,103.4,6603.0,98,4352,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1
89,2,90.4,168.2,76,4157,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1
90,4,84.8,371.9,73,4939,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
91,21,41.9,840.1,97,4778,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
92,10,80.25,846.0,85,3598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
93,27,30.75,805.1,91,2927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,5,96.5,492.55,98,5383,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
